ticker,expiry_time,status,side,price,score,won,pnl_cents,product
KXBTC15M-26MAR312045-00,2026-03-31T20:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR312045-00,2026-03-31T20:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312100-00,2026-03-31T21:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR312100-00,2026-03-31T21:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312115-00,2026-03-31T21:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR312115-00,2026-03-31T21:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312130-00,2026-03-31T21:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR312130-00,2026-03-31T21:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312145-00,2026-03-31T21:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR312145-00,2026-03-31T21:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312200-00,2026-03-31T22:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR312200-00,2026-03-31T22:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312215-00,2026-03-31T22:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR312215-00,2026-03-31T22:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312230-00,2026-03-31T22:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR312230-00,2026-03-31T22:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312245-00,2026-03-31T22:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR312245-00,2026-03-31T22:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312300-00,2026-03-31T23:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR312300-00,2026-03-31T23:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312315-00,2026-03-31T23:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR312315-00,2026-03-31T23:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312330-00,2026-03-31T23:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR312330-00,2026-03-31T23:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR312345-00,2026-03-31T23:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR312345-00,2026-03-31T23:45:00+00:00,rejected,,,,,,
KXBTC15M-26APR010000-00,2026-04-01T00:00:00+00:00,rejected,,,,,,
KXETH15M-26APR010000-00,2026-04-01T00:00:00+00:00,rejected,,,,,,
KXBTC15M-26APR010015-00,2026-04-01T00:15:00+00:00,rejected,,,,,,
KXETH15M-26APR010015-00,2026-04-01T00:15:00+00:00,rejected,,,,,,
KXBTC15M-26APR010030-00,2026-04-01T00:30:00+00:00,rejected,,,,,,
KXETH15M-26APR010030-00,2026-04-01T00:30:00+00:00,rejected,,,,,,
KXBTC15M-26APR010045-00,2026-04-01T00:45:00+00:00,rejected,,,,,,
KXETH15M-26APR010045-00,2026-04-01T00:45:00+00:00,rejected,,,,,,
KXBTC15M-26APR010100-00,2026-04-01T01:00:00+00:00,rejected,,,,,,
KXETH15M-26APR010100-00,2026-04-01T01:00:00+00:00,rejected,,,,,,
KXBTC15M-26APR010115-00,2026-04-01T01:15:00+00:00,rejected,,,,,,
